Date,Open,High,Low,Close,Adj Close,Volume
1995-01-12,5.095000,5.095000,5.000000,5.032500,1.889055,4034000
1995-01-13,5.095000,5.095000,4.970000,5.062500,1.900316,4969200
1995-01-16,5.095000,5.125000,5.062500,5.125000,1.923777,2394800
1995-01-17,5.032500,5.095000,5.000000,5.095000,1.912515,4424000
1995-01-18,5.062500,5.095000,5.000000,5.062500,1.900316,6286000
1995-01-19,5.032500,5.062500,5.000000,5.032500,1.889055,1482800
1995-01-20,5.032500,5.032500,4.937500,4.970000,1.865593,2541600
1995-01-23,4.937500,4.970000,4.875000,4.937500,1.853395,1876800
1995-01-24,4.937500,5.062500,4.937500,5.062500,1.900316,1814400
1995-01-25,5.062500,5.157500,5.032500,5.125000,1.923777,2112400
1995-01-26,5.125000,5.125000,5.062500,5.095000,1.912515,1591200
1995-01-27,5.095000,5.125000,5.062500,5.095000,1.912515,808000
1995-01-30,5.095000,5.157500,5.032500,5.062500,1.900316,984800
1995-01-31,5.125000,5.220000,5.095000,5.220000,1.959438,5288800
1995-02-01,5.250000,5.282500,5.157500,5.157500,1.935976,3941200
1995-02-02,5.157500,5.187500,5.125000,5.187500,1.947237,501200
1995-02-03,5.312500,5.375000,5.282500,5.345000,2.006357,5333600
1995-02-06,5.312500,5.437500,5.312500,5.437500,2.041080,2998000
1995-02-07,5.407500,5.407500,5.345000,5.407500,2.029820,1894400
1995-02-08,5.375000,5.470000,5.345000,5.437500,2.041080,3349600
1995-02-09,5.437500,5.532500,5.407500,5.437500,2.041080,4992400
1995-02-10,5.407500,5.437500,5.375000,5.407500,2.029820,2092000
1995-02-13,5.375000,5.407500,5.312500,5.345000,2.006357,1074400
1995-02-14,5.407500,5.470000,5.375000,5.470000,2.053280,2312000
1995-02-15,5.470000,5.595000,5.470000,5.562500,2.088001,4558800
1995-02-16,5.562500,5.562500,5.437500,5.437500,2.041080,1271600
1995-02-17,5.407500,5.437500,5.375000,5.375000,2.017620,1399600
1995-02-20,5.375000,5.407500,5.345000,5.375000,2.017620,1071200
1995-02-21,5.375000,5.437500,5.375000,5.375000,2.017620,848800
1995-02-22,5.375000,5.470000,5.375000,5.437500,2.041080,973200
1995-02-23,5.532500,5.562500,5.345000,5.375000,2.017620,5511600
1995-02-24,5.312500,5.312500,5.157500,5.187500,1.947237,4876000
1995-02-27,5.157500,5.282500,5.125000,5.220000,1.959438,6700800
1995-02-28,5.312500,5.345000,5.220000,5.250000,1.970698,2252000
1995-03-01,5.220000,5.250000,5.157500,5.157500,1.935976,2389600
1995-03-02,5.125000,5.187500,5.125000,5.157500,1.935976,2723600
1995-03-03,5.125000,5.187500,5.095000,5.187500,1.947237,2834800
1995-03-06,5.125000,5.157500,5.095000,5.157500,1.935976,4203200
1995-03-07,5.125000,5.157500,5.062500,5.095000,1.912515,1627600
1995-03-08,5.095000,5.125000,5.062500,5.125000,1.923777,3860400
1995-03-09,5.125000,5.157500,5.095000,5.157500,1.935976,2703600
1995-03-10,5.062500,5.187500,5.062500,5.157500,1.956845,3163200
1995-03-13,5.125000,5.157500,5.095000,5.125000,1.944513,864800
1995-03-14,5.095000,5.157500,5.095000,5.157500,1.956845,3000800
1995-03-15,5.125000,5.187500,5.125000,5.187500,1.968226,923600
1995-03-16,5.187500,5.220000,5.157500,5.187500,1.968226,2555200
1995-03-17,5.125000,5.187500,5.125000,5.157500,1.956845,2600400
1995-03-20,5.125000,5.187500,5.095000,5.157500,1.956845,1420800
1995-03-21,5.125000,5.187500,5.125000,5.125000,1.944513,1103200
1995-03-22,5.125000,5.157500,5.095000,5.125000,1.944513,779200
1995-03-23,5.125000,5.157500,5.095000,5.157500,1.956845,2635600
1995-03-24,5.125000,5.125000,5.062500,5.125000,1.944513,1117600
1995-03-27,5.125000,5.125000,5.062500,5.095000,1.933131,2788000
1995-03-28,5.095000,5.095000,4.970000,5.000000,1.897086,2261200
1995-03-29,5.000000,5.062500,4.970000,5.062500,1.920799,1644000
1995-03-30,5.125000,5.125000,5.000000,5.062500,1.920799,1148000
1995-03-31,5.062500,5.062500,4.970000,5.032500,1.909417,2010800
1995-04-03,5.000000,5.062500,4.970000,5.000000,1.897086,3133200
1995-04-04,5.000000,5.000000,4.970000,4.970000,1.885704,2987200
1995-04-05,5.000000,5.095000,5.000000,5.062500,1.920799,4323200
1995-04-06,5.095000,5.125000,5.032500,5.062500,1.920799,2016000
1995-04-07,5.062500,5.095000,5.000000,5.032500,1.909417,2809200
1995-04-10,5.032500,5.095000,5.032500,5.095000,1.933131,2866400
1995-04-11,5.125000,5.157500,5.062500,5.125000,1.944513,6920000
1995-04-12,5.125000,5.157500,5.095000,5.125000,1.944513,2491200
1995-04-13,5.125000,5.187500,5.125000,5.187500,1.968226,8044000
1995-04-14,null,null,null,null,null,null
1995-04-17,5.187500,5.282500,5.187500,5.220000,1.980559,6260000
1995-04-18,5.220000,5.220000,5.187500,5.220000,1.980559,2363600
1995-04-19,5.157500,5.220000,5.157500,5.157500,1.956845,621200
1995-04-20,5.157500,5.157500,5.032500,5.032500,1.909417,4131600
1995-04-21,5.000000,5.032500,4.970000,5.032500,1.909417,12134400
1995-04-24,5.000000,5.062500,4.970000,5.032500,1.909417,4449600
1995-04-25,5.032500,5.032500,4.970000,5.000000,1.897086,2332000
1995-04-26,5.000000,5.062500,5.000000,5.062500,1.920799,3274400
1995-04-27,5.062500,5.062500,4.970000,5.000000,1.897086,1413600
1995-04-28,5.000000,5.000000,4.970000,5.000000,1.897086,1410800
1995-05-01,4.970000,5.000000,4.937500,4.970000,1.885704,1601200
1995-05-02,5.000000,5.032500,4.970000,4.970000,1.885704,2136400
1995-05-03,4.970000,4.970000,4.907500,4.937500,1.873373,2251600
1995-05-04,4.970000,5.000000,4.937500,4.937500,1.873373,2978400
1995-05-05,5.000000,5.032500,4.937500,5.000000,1.897086,2652000
1995-05-08,5.000000,5.095000,5.000000,5.095000,1.933131,2674800
1995-05-09,5.095000,5.125000,5.062500,5.095000,1.933131,2362400
1995-05-10,5.095000,5.095000,5.062500,5.062500,1.920799,890400
1995-05-11,5.062500,5.062500,5.000000,5.000000,1.897086,3332400
1995-05-12,4.970000,5.032500,4.970000,5.032500,1.909417,1145200
1995-05-15,5.000000,5.032500,5.000000,5.032500,1.909417,557600
1995-05-16,5.000000,5.095000,5.000000,5.062500,1.920799,2324000
1995-05-17,5.095000,5.095000,5.032500,5.062500,1.920799,1794800
1995-05-18,5.032500,5.095000,5.032500,5.062500,1.920799,1048000
1995-05-19,5.032500,5.062500,5.032500,5.032500,1.909417,1157200
1995-05-22,null,null,null,null,null,null
1995-05-23,5.032500,5.095000,5.032500,5.095000,1.933131,1088400
1995-05-24,5.095000,5.125000,5.062500,5.095000,1.933131,1043200
1995-05-25,5.095000,5.125000,5.062500,5.125000,1.944513,596000
1995-05-26,5.095000,5.125000,5.062500,5.095000,1.933131,444400
1995-05-29,5.095000,5.125000,5.095000,5.125000,1.944513,337600
1995-05-30,5.095000,5.125000,5.062500,5.125000,1.944513,1262400
1995-05-31,5.125000,5.187500,5.095000,5.157500,1.956845,4402000
1995-06-01,5.187500,5.220000,5.157500,5.187500,1.968226,3139600
1995-06-02,5.125000,5.220000,5.125000,5.220000,1.980559,3918800
1995-06-05,5.220000,5.250000,5.157500,5.220000,1.980559,2239200
1995-06-06,5.187500,5.312500,5.187500,5.282500,2.004271,3555600
1995-06-07,5.282500,5.345000,5.250000,5.282500,2.004271,4935600
1995-06-08,5.282500,5.345000,5.250000,5.345000,2.027985,1090400
1995-06-09,5.312500,5.345000,5.282500,5.345000,2.027985,1584000
1995-06-12,5.345000,5.345000,5.282500,5.312500,2.015654,858400
1995-06-13,5.312500,5.345000,5.282500,5.312500,2.036740,2258400
1995-06-14,5.312500,5.345000,5.282500,5.312500,2.036740,2878400
1995-06-15,5.282500,5.345000,5.250000,5.250000,2.012778,2541600
1995-06-16,5.250000,5.282500,5.250000,5.282500,2.025238,1084800
1995-06-19,5.282500,5.375000,5.250000,5.345000,2.049201,1996800
1995-06-20,5.345000,5.407500,5.312500,5.407500,2.073162,3180800
1995-06-21,5.407500,5.437500,5.345000,5.375000,2.060703,646400
1995-06-22,5.345000,5.375000,5.312500,5.345000,2.049201,884800
1995-06-23,5.282500,5.345000,5.282500,5.345000,2.049201,1097600
1995-06-26,5.282500,5.345000,5.250000,5.312500,2.036740,1987200
1995-06-27,5.282500,5.345000,5.250000,5.312500,2.036740,2954800
1995-06-28,5.312500,5.345000,5.282500,5.312500,2.036740,1964400
1995-06-29,5.312500,5.312500,5.250000,5.282500,2.025238,3306000
1995-06-30,5.250000,5.312500,5.250000,5.282500,2.025238,227600
1995-07-03,null,null,null,null,null,null
1995-07-04,5.282500,5.312500,5.282500,5.282500,2.025238,1038000
1995-07-05,5.282500,5.345000,5.250000,5.312500,2.036740,8158800
1995-07-06,5.282500,5.345000,5.250000,5.312500,2.036740,3656400
1995-07-07,5.345000,5.345000,5.312500,5.345000,2.049201,1792800
1995-07-10,5.312500,5.407500,5.312500,5.375000,2.060703,2538800
1995-07-11,5.345000,5.375000,5.312500,5.312500,2.036740,1208000
1995-07-12,5.312500,5.407500,5.312500,5.345000,2.049201,2533200
1995-07-13,5.375000,5.375000,5.345000,5.345000,2.049201,1135600
1995-07-14,5.312500,5.345000,5.282500,5.345000,2.049201,958000
1995-07-17,5.312500,5.345000,5.282500,5.312500,2.036740,1054400
1995-07-18,5.312500,5.345000,5.282500,5.345000,2.049201,3740400
1995-07-19,5.282500,5.312500,5.220000,5.282500,2.025238,1648000
1995-07-20,5.250000,5.282500,5.220000,5.250000,2.012778,2818400
1995-07-21,5.220000,5.250000,5.157500,5.187500,1.988816,1546000
1995-07-24,5.187500,5.187500,5.157500,5.157500,1.977316,488000
1995-07-25,5.125000,5.220000,5.125000,5.157500,1.977316,634400
1995-07-26,5.157500,5.187500,5.125000,5.125000,1.964855,2444400
1995-07-27,5.125000,5.157500,5.125000,5.125000,1.964855,336000
1995-07-28,5.125000,5.157500,5.125000,5.157500,1.977316,1284800
1995-07-31,5.125000,5.157500,5.095000,5.157500,1.977316,537200
1995-08-01,5.095000,5.125000,5.032500,5.095000,1.953354,1180000
1995-08-02,5.095000,5.220000,5.095000,5.125000,1.964855,6086800
1995-08-03,5.095000,5.157500,5.095000,5.157500,1.977316,1715600
1995-08-04,5.125000,5.187500,5.125000,5.187500,1.988816,340400
1995-08-07,null,null,null,null,null,null
1995-08-08,5.157500,5.187500,5.157500,5.157500,1.977316,399600
1995-08-09,5.187500,5.220000,5.187500,5.187500,1.988816,2080000
1995-08-10,5.220000,5.250000,5.187500,5.187500,1.988816,600000
1995-08-11,5.220000,5.250000,5.187500,5.187500,1.988816,1511600
1995-08-14,5.187500,5.220000,5.157500,5.187500,1.988816,320400
1995-08-15,5.187500,5.220000,5.157500,5.220000,2.001278,1802800
1995-08-16,5.220000,5.312500,5.187500,5.312500,2.036740,1482000
1995-08-17,5.250000,5.282500,5.220000,5.250000,2.012778,998000
1995-08-18,5.282500,5.282500,5.220000,5.220000,2.001278,910800
1995-08-21,5.220000,5.250000,5.187500,5.220000,2.001278,426000
1995-08-22,5.220000,5.282500,5.187500,5.250000,2.012778,2064800
1995-08-23,5.282500,5.375000,5.282500,5.375000,2.060703,3838400
1995-08-24,5.375000,5.532500,5.345000,5.437500,2.084664,8343200
1995-08-25,5.470000,5.470000,5.407500,5.437500,2.084664,1576000
1995-08-28,5.470000,5.532500,5.470000,5.470000,2.097124,5271600
1995-08-29,5.470000,5.470000,5.375000,5.437500,2.084664,1731600
1995-08-30,5.437500,5.437500,5.375000,5.407500,2.073162,1212800
1995-08-31,5.375000,5.437500,5.345000,5.407500,2.073162,2090400
1995-09-01,5.375000,5.437500,5.345000,5.407500,2.073162,1667600
1995-09-04,null,null,null,null,null,null
1995-09-05,5.437500,5.532500,5.407500,5.532500,2.121085,2535200
1995-09-06,5.500000,5.532500,5.470000,5.500000,2.108625,3972400
1995-09-07,5.470000,5.532500,5.437500,5.437500,2.084664,6221200
1995-09-08,5.470000,5.470000,5.407500,5.437500,2.084664,4098400
1995-09-11,5.437500,5.437500,5.407500,5.437500,2.084664,1412800
1995-09-12,5.375000,5.407500,5.345000,5.345000,2.070138,6026800
1995-09-13,5.345000,5.407500,5.345000,5.345000,2.070138,2548400
1995-09-14,5.345000,5.375000,5.312500,5.345000,2.070138,1660400
1995-09-15,5.345000,5.407500,5.345000,5.375000,2.081759,2882000
1995-09-18,5.407500,5.500000,5.375000,5.470000,2.118552,2215600
1995-09-19,5.500000,5.595000,5.470000,5.562500,2.154378,5955200
1995-09-20,5.562500,5.687500,5.532500,5.657500,2.191171,9177600
1995-09-21,5.657500,5.750000,5.657500,5.687500,2.202792,6839200
1995-09-22,5.625000,5.687500,5.625000,5.657500,2.191171,2902400
1995-09-25,5.625000,5.687500,5.625000,5.687500,2.202792,5519600
