Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,0.2630,0.2702,0.2630,0.2650,0.0487,806400
1962-01-03,0.2650,0.2700,0.2635,0.2690,0.0496,1574400
1962-01-04,0.2690,0.2730,0.2680,0.2720,0.0501,844800
1962-01-05,0.2720,0.2760,0.2705,0.2745,0.0506,1420800
1962-01-08,0.2745,0.2780,0.2730,0.2770,0.0511,2035200
1962-01-09,0.2770,0.2810,0.2755,0.2800,0.0517,960000
1962-01-10,0.2800,0.2840,0.2785,0.2830,0.0522,1612800
1962-01-11,0.2830,0.2870,0.2815,0.2860,0.0527,614400
1962-01-12,0.2860,0.2900,0.2845,0.2890,0.0533,883200
1962-01-15,0.2890,0.2930,0.2875,0.2920,0.0538,614400
1962-01-16,0.2920,0.2960,0.2905,0.2950,0.0543,1113600
1962-01-17,0.2950,0.2990,0.2935,0.2980,0.0549,1574400
1962-01-18,0.2980,0.3020,0.2965,0.3010,0.0554,2649600
1962-01-19,0.3010,0.3050,0.2995,0.3040,0.0559,1459200
1962-01-22,0.3040,0.3080,0.3025,0.3070,0.0565,1075200
1962-01-23,0.3070,0.3110,0.3055,0.3100,0.0570,768000
1962-01-24,0.3100,0.3140,0.3085,0.3130,0.0575,2611200
1962-01-25,0.3130,0.3170,0.3115,0.3160,0.0581,1574400
1962-01-26,0.3160,0.3200,0.3145,0.3190,0.0586,1574400
1962-01-29,0.3190,0.3230,0.3175,0.3220,0.0591,307200
1962-01-30,0.3220,0.3260,0.3205,0.3250,0.0597,1574400
1962-01-31,0.3250,0.3290,0.3235,0.3280,0.0602,1766400
1962-02-01,0.3280,0.3320,0.3265,0.3310,0.0607,1420800
